date,map,match_id,team_a,team_b,map_win_rate_10_diff,fk_fd_diff_overall_5_diff,ranking_elo_sum_diff,ranking_elo_trend_diff,target
2023-08-11,Lotus,247078_g137359,Giants Gaming,KRÜ Esports,0.167,2.8,464.655,45.596,1
2023-08-12,Pearl,247090_g137378,T1,FUT Esports,-0.464,-0.6,69.921,-51.236,0
2023-08-12,Bind,247090_g137377,T1,FUT Esports,-0.095,-3.4,177.373,-73.373,0
2023-08-12,Bind,247104_g137409,LOUD,Natus Vincere,0.667,5.0,479.704,-4.796,1
2023-08-12,Ascent,247104_g137408,Natus Vincere,LOUD,-0.129,-1.0,-305.351,-35.269,0
2023-08-12,Pearl,247104_g137407,Natus Vincere,LOUD,0.433,-4.8,-309.797,-17.313,1
2023-08-13,Split,247079_g137362,Giants Gaming,EDward Gaming,-0.095,3.4,-390.434,4.559,0
2023-08-13,Bind,247098_g137392,NRG,Bilibili Gaming,,6.95,681.968,7.287,0
2023-08-13,Ascent,247098_g137393,NRG,Bilibili Gaming,,3.6,616.01,15.972,0
2023-08-13,Fracture,247079_g137363,EDward Gaming,Giants Gaming,,-3.4,448.227,-29.748,1
2023-08-16,Ascent,248270_g137618,FNATIC,LOUD,-0.2,1.2,1099.356,53.799,0
2023-08-16,Lotus,248270_g137619,FNATIC,LOUD,0.667,2.8,1060.763,20.668,0
2023-08-16,Ascent,248271_g137621,Paper Rex,FUT Esports,-0.267,1.2,928.998,67.529,1
2023-08-16,Pearl,248271_g137622,FUT Esports,Paper Rex,-0.0,-2.0,-1034.166,-30.745,0
2023-08-17,Lotus,248272_g137624,Bilibili Gaming,DRX,0.167,-5.2,-273.205,-26.359,0
2023-08-17,Pearl,248273_g137629,Evil Geniuses,EDward Gaming,0.292,4.4,-179.019,2.026,1
2023-08-17,Ascent,248273_g137628,EDward Gaming,Evil Geniuses,0.3,-7.0,315.095,-41.13,0
2023-08-17,Split,248273_g137627,EDward Gaming,Evil Geniuses,0.306,-6.4,343.18,-34.034,1
2023-08-17,Haven,248272_g137625,DRX,Bilibili Gaming,0.5,3.4,327.751,-6.204,1
2023-08-18,Bind,248279_g137647,Bilibili Gaming,EDward Gaming,0.0,0.8,-629.798,10.645,0
2023-08-18,Haven,248279_g137649,Bilibili Gaming,EDward Gaming,-0.667,1.2,-648.044,35.942,0
2023-08-18,Haven,248278_g137645,FNATIC,FUT Esports,0.232,4.8,1792.381,48.22,1
2023-08-18,Split,248278_g137644,FNATIC,FUT Esports,0.833,5.2,1758.885,15.117,1
2023-08-18,Split,248279_g137648,Bilibili Gaming,EDward Gaming,0.2,1.8,-726.0,24.424,1
2023-08-19,Lotus,248274_g137630,LOUD,Paper Rex,-0.214,-2.4,-318.383,-31.157,0
2023-08-19,Pearl,248274_g137632,LOUD,Paper Rex,-0.467,-0.2,-113.561,1.635,0
2023-08-19,Fracture,248275_g137633,Evil Geniuses,DRX,0.275,1.6,212.527,20.726,1
2023-08-19,Split,248274_g137631,LOUD,Paper Rex,-0.144,-2.2,-288.727,33.517,1
2023-08-19,Lotus,248275_g137634,Evil Geniuses,DRX,-0.167,0.4,257.88,11.814,1
2023-08-20,Bind,248281_g137653,LOUD,EDward Gaming,0.0,5.4,183.153,57.846,0
2023-08-20,Ascent,248281_g137654,EDward Gaming,LOUD,-0.2,0.2,-121.751,-43.626,0
2023-08-20,Haven,248281_g137655,LOUD,EDward Gaming,0.25,4.8,344.141,-3.943,1
2023-08-20,Bind,248280_g137650,DRX,FNATIC,-0.458,-2.6,-1591.401,20.474,1
2023-08-20,Haven,248280_g137651,FNATIC,DRX,0.319,0.6,1444.888,16.119,1
2023-08-20,Split,248280_g137652,FNATIC,DRX,0.25,4.8,1571.358,20.567,1
2023-08-24,Ascent,248282_g137657,LOUD,FNATIC,0.3,-3.4,-824.068,-3.633,0
2023-08-24,Haven,248282_g137658,FNATIC,LOUD,-0.111,-3.2,772.428,-40.762,0
2023-08-24,Ascent,248276_g137636,Paper Rex,Evil Geniuses,-0.3,-2.6,317.965,-25.596,0
2023-08-24,Bind,248276_g137637,Evil Geniuses,Paper Rex,-0.433,-0.8,-305.888,79.778,0
2023-08-24,Pearl,248276_g137638,Evil Geniuses,Paper Rex,-0.133,0.2,-324.861,76.283,0
2023-08-24,Split,248282_g137656,LOUD,FNATIC,-0.4,5.4,-893.255,65.36,1
2023-08-25,Bind,248283_g137663,LOUD,Evil Geniuses,0.417,6.6,464.017,16.159,0
2023-08-25,Pearl,248283_g137661,Evil Geniuses,LOUD,0.314,-0.6,-327.368,-23.713,0
2023-08-25,Lotus,248283_g137660,LOUD,Evil Geniuses,-0.029,0.4,467.049,6.359,0
2023-08-25,Ascent,248283_g137659,Evil Geniuses,LOUD,0.3,3.8,-419.574,-22.941,1
2023-08-25,Split,248283_g137662,Evil Geniuses,LOUD,-0.2,2.2,-437.463,-25.116,0
2023-08-26,Lotus,248277_g137642,Paper Rex,Evil Geniuses,0.25,-0.8,82.172,12.069,0
2023-08-26,Bind,248277_g137641,Evil Geniuses,Paper Rex,-0.429,0.4,-215.764,36.581,1
2023-08-26,Split,248277_g137639,Paper Rex,Evil Geniuses,0.4,-0.4,243.638,-34.338,0
2023-08-26,Ascent,248277_g137640,Paper Rex,Evil Geniuses,-0.471,-2.0,177.208,-12.276,1
2024-03-14,Icebox,312765_g162326,FunPlus Phoenix,Karmine Corp,,-2.05,488.908,-11.893,0
2024-03-14,Lotus,312765_g162327,Karmine Corp,FunPlus Phoenix,0.333,-1.2,-468.336,-23.879,1
2024-03-14,Icebox,312766_g162329,LOUD,Gen.G,,2.0,552.857,-19.491,0
2024-03-14,Breeze,312766_g162330,Gen.G,LOUD,,-2.6,-525.756,181.702,0
2024-03-14,Ascent,312766_g162331,Gen.G,LOUD,-0.056,-2.2,-635.911,265.195,1
2024-03-15,Split,312767_g162334,Paper Rex,EDward Gaming,0.033,4.2,353.144,5.282,0
2024-03-15,Sunset,312767_g162332,EDward Gaming,Paper Rex,,0.4,-253.842,-6.352,0
2024-03-15,Bind,312767_g162333,EDward Gaming,Paper Rex,0.25,1.4,-455.695,29.954,1
2024-03-15,Lotus,312768_g162335,Sentinels,Team Heretics,-0.333,-0.4,288.926,-13.614,1
2024-03-15,Sunset,312768_g162336,Sentinels,Team Heretics,,2.0,387.932,-62.508,0
2024-03-15,Bind,312768_g162337,Team Heretics,Sentinels,,2.8,-244.344,67.509,0
2024-03-16,Breeze,312797_g162360,EDward Gaming,Gen.G,,-1.0,412.396,-127.618,0
2024-03-16,Split,312797_g162359,Gen.G,EDward Gaming,-0.048,-1.0,-547.915,86.632,1
2024-03-16,Lotus,312798_g162362,Sentinels,Karmine Corp,0.071,-0.6,339.746,27.113,1
2024-03-16,Split,312798_g162361,Karmine Corp,Sentinels,-0.133,1.8,-221.992,-25.082,0
2024-03-16,Icebox,312797_g162358,Gen.G,EDward Gaming,,1.6,-503.208,-16.219,0
2024-03-17,Split,312799_g162366,Paper Rex,Team Heretics,0.1,-3.0,1049.085,-157.896,1
2024-03-17,Lotus,312799_g162365,Team Heretics,Paper Rex,-0.095,1.8,-1140.647,138.727,1
2024-03-17,Breeze,312800_g162368,FunPlus Phoenix,LOUD,,2.0,-687.033,201.845,0
2024-03-17,Sunset,312800_g162367,FunPlus Phoenix,LOUD,,3.0,-493.132,109.547,0
2024-03-17,Sunset,312799_g162364,Paper Rex,Team Heretics,-0.0,-4.4,1123.361,-25.756,1
2024-03-18,Icebox,312803_g162373,EDward Gaming,LOUD,0.5,0.8,-306.09,5.581,0
2024-03-18,Sunset,312803_g162374,EDward Gaming,LOUD,-1.0,-1.6,-413.125,-23.715,0
2024-03-18,Bind,312802_g162370,Karmine Corp,Paper Rex,0.333,-0.6,-1152.26,31.549,0
2024-03-18,Lotus,312802_g162371,Paper Rex,Karmine Corp,0.225,2.0,1253.68,-14.408,0
2024-03-18,Ascent,312802_g162372,Paper Rex,Karmine Corp,0.357,-0.4,1125.08,39.897,1
2024-03-21,Sunset,312776_g162340,Sentinels,LOUD,-1.0,-2.4,-858.49,-37.884,1
2024-03-21,Split,312776_g162338,Sentinels,LOUD,-0.271,-5.2,-886.072,-44.539,1
2024-03-21,Icebox,312776_g162339,LOUD,Sentinels,0.667,-0.8,749.343,46.313,1
2024-03-21,Split,312777_g162341,Paper Rex,Gen.G,-0.15,-2.2,576.747,8.547,0
2024-03-21,Lotus,312777_g162342,Paper Rex,Gen.G,0.214,-5.0,467.031,-31.499,0
2024-03-22,Sunset,312780_g163448,Paper Rex,LOUD,0.333,-5.8,-204.485,-44.626,1
2024-03-22,Split,312778_g162344,Sentinels,Gen.G,-0.3,-4.2,-349.416,-22.753,0
2024-03-22,Lotus,312778_g162345,Gen.G,Sentinels,-0.225,4.0,353.928,60.101,0
2024-03-22,Breeze,312778_g162346,Gen.G,Sentinels,,2.2,289.915,78.236,1
2024-03-22,Ascent,312780_g162352,Paper Rex,LOUD,0.156,-3.4,-255.348,-50.806,1
2024-03-23,Sunset,312781_g162356,Paper Rex,Sentinels,0.5,1.0,517.512,-20.756,0
2024-03-23,Split,312781_g162355,Paper Rex,Sentinels,0.056,0.4,383.392,-45.643,1
2024-03-23,Lotus,312781_g162353,Paper Rex,Sentinels,-0.267,3.4,792.747,-95.563,0
2024-03-23,Ascent,312781_g162354,Sentinels,Paper Rex,0.067,-1.4,-598.443,14.591,1
2024-03-24,Breeze,312779_g162347,Sentinels,Gen.G,-0.667,-2.0,-160.421,-42.681,0
2024-03-24,Bind,312779_g162348,Gen.G,Sentinels,,-3.8,100.64,14.849,0
2024-03-24,Ascent,312779_g162349,Sentinels,Gen.G,0.25,5.4,-100.64,35.333,0
2024-03-24,Split,312779_g162350,Gen.G,Sentinels,0.433,-7.4,149.432,-76.519,0
2024-03-24,Icebox,312779_g162351,Gen.G,Sentinels,0.5,-6.6,33.511,-29.097,0
2024-04-03,Split,318913_g164094,"Movistar KOI						
							(KOI)",Team Liquid,,,-401.499,38.839,0
2024-04-03,Sunset,318911_g164092,Karmine Corp,GIANTX,,,-424.359,-9.986,1
2024-04-03,Breeze,318911_g164091,GIANTX,Karmine Corp,,2.2,561.713,-14.875,0
2024-04-03,Ascent,318913_g164095,Team Liquid,"Movistar KOI						
							(KOI)",,-1.2,449.357,-35.196,1
2024-04-04,Bind,318914_g164097,Team Vitality,Natus Vincere,-0.286,2.6,124.228,-41.903,0
2024-04-04,Lotus,318914_g164098,Natus Vincere,Team Vitality,-0.1,2.0,-139.228,-117.324,1
2024-04-04,Icebox,318915_g164100,FNATIC,Team Heretics,0.667,-1.2,2137.583,16.42,0
2024-04-04,Lotus,318915_g164101,Team Heretics,FNATIC,-0.275,4.0,-1993.369,-0.446,1
2024-04-05,Icebox,318916_g164104,FUT Esports,Team Liquid,-1.0,-4.2,1.901,27.984,1
2024-04-05,Split,318916_g164103,FUT Esports,Team Liquid,-0.457,-3.2,-133.113,36.705,1
2024-04-05,Ascent,318917_g164106,BBL Esports,Gentle Mates,,,-19.114,-8.031,0
2024-04-05,Sunset,318917_g164107,Gentle Mates,BBL Esports,,2.0,66.521,-4.457,1
2024-04-06,Sunset,314301_g163149,ZETA DIVISION,Global Esports,,-4.2,92.34,-2.19,1
2024-04-06,Lotus,314302_g163153,Team Secret,DRX,0.1,3.2,-327.665,32.223,0
2024-04-06,Sunset,314622_g163352,Cloud9,LEVIATÁN,,-4.0,-858.889,9.095,1
2024-04-06,Sunset,314302_g163152,DRX,Team Secret,,-2.2,294.248,-48.924,1
2024-04-06,Icebox,314622_g163351,LEVIATÁN,Cloud9,,2.8,813.318,135.545,1
2024-04-06,Icebox,314301_g163150,ZETA DIVISION,Global Esports,,-4.0,291.072,15.075,0
2024-04-06,Ascent,314301_g163151,ZETA DIVISION,Global Esports,0.444,-6.4,222.392,41.044,1
2024-04-06,Ascent,314622_g163353,LEVIATÁN,Cloud9,-0.714,5.2,798.371,248.849,0
2024-04-06,Sunset,314623_g163355,NRG,LOUD,,4.0,87.206,-17.118,1
2024-04-06,Breeze,314623_g163354,NRG,LOUD,,7.8,67.208,81.544,1
2024-04-07,Lotus,314303_g163155,BLEED,TALON,,,293.492,-20.858,1
2024-04-07,Bind,314303_g163156,TALON,BLEED,,-2.6,-354.303,-13.929,1
2024-04-07,Icebox,314303_g163157,BLEED,TALON,,1.9,299.149,81.331,0
2024-04-07,Lotus,314304_g163158,Paper Rex,T1,-0.45,1.8,908.105,21.818,1
2024-04-07,Bind,314304_g163159,Paper Rex,T1,0.2,1.4,967.508,80.236,1
2024-04-07,Lotus,314624_g163357,Evil Geniuses,G2 Esports,,,75.797,2.284,0
2024-04-07,Icebox,314624_g163358,G2 Esports,Evil Geniuses,,6.4,42.152,187.274,1
2024-04-07,Icebox,314625_g163360,100 Thieves,Sentinels,0.167,-5.2,-276.39,-27.067,0
2024-04-07,Split,314625_g163361,Sentinels,100 Thieves,0.0,2.2,290.312,-19.377,1
2024-04-08,Lotus,314626_g163363,FURIA,KRÜ Esports,,-1.0,241.278,27.884,0
2024-04-08,Breeze,314626_g163365,KRÜ Esports,FURIA,,5.0,-157.308,-48.078,1
2024-04-08,Icebox,314626_g163364,KRÜ Esports,FURIA,,6.6,-111.368,-39.989,0
2024-04-08,Lotus,314306_g163165,DRX,Global Esports,-0.0,-5.4,478.565,-7.802,1
2024-04-08,Ascent,314306_g163164,Global Esports,DRX,-0.625,5.2,-432.944,-5.494,0
2024-04-08,Split,314305_g163162,Team Secret,Rex Regum Qeon,-0.233,6.0,-149.603,79.326,1
2024-04-08,Breeze,314305_g163161,Rex Regum Qeon,Team Secret,,-3.0,83.282,-34.882,1
2024-04-08,Icebox,314305_g163163,Rex Regum Qeon,Team Secret,1.0,-4.4,87.393,4.379,1
2024-04-09,Sunset,314308_g163172,DetonatioN FocusMe,T1,,3.2,-98.264,63.104,1
2024-04-09,Lotus,314308_g163171,DetonatioN FocusMe,T1,-0.667,2.4,19.789,134.533,0
2024-04-09,Ascent,314308_g163170,DetonatioN FocusMe,T1,-0.6,-2.4,18.353,167.736,1
2024-04-09,Ascent,314307_g163168,Gen.G,TALON,0.1,-4.4,724.751,46.379,1
2024-04-09,Lotus,314307_g163167,Gen.G,TALON,-0.333,-3.2,618.035,31.943,1
2024-04-10,Lotus,318918_g164110,Karmine Corp,FUT Esports,-0.056,4.4,-411.118,3.468,0
2024-04-10,Breeze,318918_g164111,FUT Esports,Karmine Corp,,-1.2,546.647,12.069,1
2024-04-10,Breeze,318919_g164112,Team Heretics,Team Vitality,,3.4,-614.665,-216.447,0
2024-04-10,Bind,318918_g164109,Karmine Corp,FUT Esports,-0.25,-3.4,-413.609,-54.074,1
2024-04-10,Icebox,318919_g164114,Team Vitality,Team Heretics,,-5.4,523.397,206.174,1
2024-04-10,Sunset,318919_g164113,Team Heretics,Team Vitality,,5.2,-569.39,-111.11,1
2024-04-11,Split,318920_g164116,Team Liquid,Natus Vincere,0.0,-1.0,-62.729,-19.751,0
2024-04-11,Ascent,318920_g164117,Natus Vincere,Team Liquid,-0.278,0.4,105.496,-18.95,1
2024-04-11,Breeze,318921_g164118,"Movistar KOI						
							(KOI)",BBL Esports,,1.6,-185.597,-69.325,0
2024-04-11,Icebox,318921_g164119,"Movistar KOI						
							(KOI)",BBL Esports,,-2.8,-279.433,-63.643,0
2024-04-11,Lotus,318920_g164115,Team Liquid,Natus Vincere,-0.1,-2.4,-179.391,5.268,1
2024-04-12,Icebox,318923_g164125,Gentle Mates,Karmine Corp,,0.4,156.955,29.472,0
2024-04-12,Bind,318922_g164121,GIANTX,FNATIC,,1.8,-1596.273,110.491,0
2024-04-12,Breeze,318922_g164122,GIANTX,FNATIC,,1.2,-1709.309,26.994,1
2024-04-12,Split,318922_g164123,GIANTX,FNATIC,,3.55,-1565.781,-14.062,0
2024-04-12,Split,318923_g164124,Gentle Mates,Karmine Corp,,1.933,313.333,-10.225,0
2024-04-13,Bind,314310_g163178,DRX,T1,-0.0,-2.6,592.521,14.24,1
2024-04-13,Split,314310_g163177,T1,DRX,-0.667,0.6,-458.383,-63.692,0
2024-04-13,Bind,314628_g163366,100 Thieves,G2 Esports,,-5.9,-53.792,13.691,1
2024-04-13,Split,314628_g163367,100 Thieves,G2 Esports,,-5.133,-98.792,13.215,1
2024-04-13,Lotus,314629_g163369,Sentinels,LEVIATÁN,0.429,-0.8,-404.409,-190.111,0
2024-04-13,Icebox,314629_g163370,LEVIATÁN,Sentinels,0.25,4.4,472.192,99.149,1
2024-04-13,Breeze,314310_g163176,DRX,T1,,2.8,437.87,54.899,0
2024-04-13,Lotus,314309_g163173,Paper Rex,Gen.G,-0.0,1.8,626.859,96.726,0
2024-04-13,Bind,314309_g163175,Gen.G,Paper Rex,-0.7,0.0,-718.039,-73.766,0
2024-04-13,Icebox,314309_g163174,Gen.G,Paper Rex,0.333,-2.0,-662.762,-76.157,0
2024-04-14,Sunset,314630_g163373,MIBR,KRÜ Esports,,-1.8,-581.504,-48.432,0
2024-04-14,Icebox,314312_g163183,Rex Regum Qeon,BLEED,1.0,-1.8,174.55,35.499,1
2024-04-14,Lotus,314312_g163182,BLEED,Rex Regum Qeon,0.667,2.8,-57.701,-49.696,0
2024-04-14,Sunset,314311_g163181,ZETA DIVISION,Team Secret,1.0,-6.4,129.237,28.456,0
2024-04-14,Lotus,314311_g163180,ZETA DIVISION,Team Secret,0.371,-3.8,75.417,17.089,1
2024-04-14,Split,314631_g163375,FURIA,NRG,-0.025,-5.2,-1042.779,-60.885,0
2024-04-14,Icebox,314311_g163179,ZETA DIVISION,Team Secret,-0.0,-0.4,210.05,-36.856,0
2024-04-14,Breeze,314631_g163376,NRG,FURIA,1.0,4.6,1182.808,98.581,1
2024-04-14,Icebox,314630_g163372,KRÜ Esports,MIBR,-0.5,3.4,477.688,77.219,1
2024-04-15,Split,314632_g163380,Cloud9,Evil Geniuses,0.5,-0.4,144.677,224.606,1
2024-04-15,Sunset,314632_g163379,Evil Geniuses,Cloud9,,-2.8,-42.136,-253.224,0
2024-04-15,Lotus,314632_g163378,Cloud9,Evil Geniuses,0.25,3.4,158.295,199.522,0
2024-04-15,Split,314313_g163185,Gen.G,DetonatioN FocusMe,-0.286,2.0,326.682,-119.531,1
2024-04-15,Lotus,314313_g163186,Gen.G,DetonatioN FocusMe,0.4,3.2,382.609,-97.071,1
2024-04-15,Icebox,314314_g163188,TALON,Global Esports,-0.333,-1.0,-288.383,18.994,0
2024-04-15,Lotus,314314_g163190,TALON,Global Esports,0.1,2.0,-409.973,1.425,1
2024-04-15,Breeze,314314_g163189,Global Esports,TALON,,-3.4,389.52,28.327,0
2024-04-16,Ascent,314315_g163191,T1,Rex Regum Qeon,0.1,-0.6,-235.368,14.259,1
2024-04-16,Sunset,314316_g163194,ZETA DIVISION,BLEED,,0.2,321.153,14.006,1
2024-04-16,Ascent,314316_g163195,BLEED,ZETA DIVISION,,-3.4,-373.726,-36.355,1
2024-04-16,Lotus,314316_g163196,BLEED,ZETA DIVISION,-0.333,0.4,-247.357,-41.776,0
2024-04-16,Lotus,314315_g163192,T1,Rex Regum Qeon,0.2,0.8,-40.368,-21.092,1
2024-04-17,Bind,318925_g164130,Karmine Corp,Natus Vincere,0.292,-2.6,-548.899,-29.262,1
2024-04-17,Lotus,318924_g164128,Gentle Mates,FNATIC,,2.3,-2046.556,10.267,0
2024-04-17,Breeze,318924_g164127,Gentle Mates,FNATIC,,-2.6,-1953.616,-39.268,0
2024-04-17,Split,318925_g164132,Karmine Corp,Natus Vincere,-0.27,-1.2,-544.003,-25.991,0
2024-04-17,Sunset,318925_g164131,Natus Vincere,Karmine Corp,,-1.0,491.781,28.648,1
2024-04-18,Split,318926_g164133,BBL Esports,Team Heretics,-0.333,-0.4,230.638,-7.492,1
2024-04-18,Sunset,318927_g164138,FUT Esports,Team Vitality,,6.2,-34.518,46.408,0
2024-04-18,Icebox,318927_g164137,FUT Esports,Team Vitality,-0.667,3.2,72.866,57.423,0
2024-04-18,Ascent,318927_g164136,Team Vitality,FUT Esports,-0.321,-1.0,-13.67,-41.647,0
2024-04-18,Sunset,318926_g164134,Team Heretics,BBL Esports,0.667,-1.8,-428.324,-15.831,0
2024-04-19,Bind,318929_g164142,FNATIC,"Movistar KOI						
							(KOI)",,2.45,2346.008,49.879,1
2024-04-19,Icebox,318928_g164140,GIANTX,Team Liquid,,2.2,154.418,2.687,0
2024-04-19,Lotus,318928_g164139,Team Liquid,GIANTX,,-1.6,-110.371,-18.648,0
2024-04-19,Icebox,318929_g164143,FNATIC,"Movistar KOI						
							(KOI)",0.75,4.0,2296.949,63.4,1
2024-04-19,Ascent,318928_g164141,Team Liquid,GIANTX,,-2.8,-105.55,-26.193,1
2024-04-20,Lotus,314635_g163386,LOUD,Cloud9,-0.333,-1.0,607.346,-5.494,0
2024-04-20,Bind,314634_g163382,MIBR,Sentinels,-1.0,1.6,-1109.919,-30.87,0
2024-04-20,Icebox,314635_g163385,LOUD,Cloud9,0.75,-5.0,746.341,-68.433,0
2024-04-20,Ascent,314318_g163202,BLEED,DetonatioN FocusMe,0.8,1.8,51.143,0.638,1
2024-04-20,Split,314318_g163201,DetonatioN FocusMe,BLEED,,-3.4,-8.418,-28.663,0
2024-04-20,Lotus,314318_g163200,BLEED,DetonatioN FocusMe,0.333,2.4,27.559,39.001,0
2024-04-20,Split,314317_g163199,DRX,Gen.G,-0.05,2.4,279.134,29.491,1
2024-04-20,Ascent,314317_g163198,Gen.G,DRX,-0.067,-4.6,-314.639,-41.541,1
2024-04-20,Bind,314317_g163197,Gen.G,DRX,-0.5,-3.0,-191.399,-40.725,0
2024-04-20,Lotus,314634_g163381,Sentinels,MIBR,0.125,0.8,924.515,69.314,1
2024-04-20,Bind,314635_g163384,Cloud9,LOUD,-0.6,7.6,-730.169,61.967,0
2024-04-21,Sunset,314320_g163207,Paper Rex,Team Secret,0.25,1.4,918.52,2.313,0
2024-04-21,Icebox,314320_g163206,Team Secret,Paper Rex,-0.25,3.8,-1053.52,3.776,1
2024-04-21,Icebox,314319_g163204,Rex Regum Qeon,Global Esports,-0.0,-0.6,-133.476,-21.627,0
2024-04-21,Lotus,314319_g163203,Global Esports,Rex Regum Qeon,-0.067,-1.6,-18.049,60.38,1
2024-04-21,Lotus,314636_g163387,Evil Geniuses,KRÜ Esports,-0.0,-4.6,-305.818,-67.275,0
2024-04-21,Breeze,314636_g163388,KRÜ Esports,Evil Geniuses,,2.8,420.498,73.977,1
2024-04-21,Sunset,314637_g163390,NRG,LEVIATÁN,1.0,0.6,294.663,105.402,0
2024-04-21,Bind,314637_g163391,LEVIATÁN,NRG,-0.056,2.2,-158.428,-38.685,1
2024-04-22,Bind,314321_g163210,T1,TALON,-0.6,-1.6,407.459,26.643,0
2024-04-22,Split,314322_g163212,Gen.G,ZETA DIVISION,-0.083,0.8,84.881,19.883,1
2024-04-22,Lotus,314321_g163209,TALON,T1,-0.1,4.0,-316.852,-27.971,1
2024-04-22,Lotus,314638_g163393,FURIA,G2 Esports,-1.0,-5.6,-36.41,-99.108,0
2024-04-22,Icebox,314638_g163394,G2 Esports,FURIA,0.333,6.8,183.625,60.697,1
2024-04-22,Ascent,314322_g163213,Gen.G,ZETA DIVISION,0.1,-1.4,114.773,7.978,1
2024-04-22,Bind,314639_g163396,100 Thieves,Cloud9,0.333,-0.6,-160.142,22.407,1
2024-04-22,Ascent,314639_g163397,Cloud9,100 Thieves,0.75,0.0,22.321,39.243,0
2024-04-23,Icebox,314324_g163219,Global Esports,Paper Rex,0.667,1.4,-1051.935,-14.849,0
2024-04-23,Lotus,314640_g163399,Sentinels,Evil Geniuses,0.167,2.0,838.601,53.395,1
2024-04-23,Bind,314640_g163400,Evil Geniuses,Sentinels,-0.5,-0.4,-862.782,-88.04,1
2024-04-23,Lotus,314323_g163215,DetonatioN FocusMe,Team Secret,-0.25,-6.6,-410.415,-25.157,0
2024-04-23,Breeze,314323_g163216,Team Secret,DetonatioN FocusMe,,6.2,463.069,54.111,0
2024-04-23,Sunset,314323_g163217,Team Secret,DetonatioN FocusMe,-0.333,4.0,417.265,79.933,1
2024-04-23,Sunset,314324_g163218,Global Esports,Paper Rex,-0.6,3.6,-944.328,-10.145,0
2024-04-23,Sunset,314640_g163401,Evil Geniuses,Sentinels,-0.667,-3.8,-879.672,-90.168,1
2024-04-23,Split,314641_g163402,NRG,MIBR,0.417,1.2,1660.578,48.4,1
2024-04-23,Breeze,314641_g163403,NRG,MIBR,,-2.4,1595.775,28.583,1
2024-04-24,Bind,318930_g164146,Team Heretics,Team Liquid,-0.5,-1.0,-265.721,-21.819,1
2024-04-24,Lotus,314642_g163407,G2 Esports,LEVIATÁN,0.625,0.4,-889.446,-9.021,0
2024-04-24,Icebox,318931_g164148,Gentle Mates,Team Vitality,-1.0,-3.2,-656.633,-33.133,1
2024-04-24,Sunset,318930_g164145,Team Liquid,Team Heretics,,-0.2,396.324,4.168,0
2024-04-24,Sunset,318931_g164149,Team Vitality,Gentle Mates,-0.5,2.0,588.454,58.094,0
2024-04-24,Breeze,314642_g163405,G2 Esports,LEVIATÁN,,-4.0,-827.804,-32.35,0
2024-04-24,Split,314643_g163408,LOUD,KRÜ Esports,0.378,-3.8,495.941,-69.694,0
2024-04-24,Icebox,314642_g163406,LEVIATÁN,G2 Esports,-0.2,4.4,933.623,14.966,0
2024-04-24,Ascent,314643_g163409,LOUD,KRÜ Esports,-0.2,-5.2,394.952,-71.735,0
2024-04-25,Lotus,318932_g164152,FNATIC,FUT Esports,0.3,3.8,1504.814,2.038,0
2024-04-25,Ascent,318933_g164154,Natus Vincere,BBL Esports,-0.111,-2.8,218.014,-25.903,1
2024-04-25,Sunset,318933_g164155,BBL Esports,Natus Vincere,-0.5,4.8,-265.785,53.717,1
2024-04-25,Split,318933_g164156,BBL Esports,Natus Vincere,-0.35,1.2,-226.287,48.406,1
2024-04-25,Split,318932_g164151,FUT Esports,FNATIC,-0.65,-5.4,-1670.5,25.421,1
2024-04-26,Sunset,318934_g164159,Team Vitality,GIANTX,0.333,-3.6,75.23,-5.862,1
2024-04-26,Sunset,318935_g164160,Karmine Corp,"Movistar KOI						
							(KOI)",,1.4,205.102,48.402,1
2024-04-26,Lotus,318934_g164157,Team Vitality,GIANTX,-0.571,-1.8,58.452,3.178,0
2024-04-26,Bind,318935_g164162,Karmine Corp,"Movistar KOI						
							(KOI)",0.75,0.4,125.022,46.341,1
2024-04-26,Breeze,318934_g164158,Team Vitality,GIANTX,0.5,-3.8,-48.03,-16.897,1
2024-04-26,Icebox,318935_g164161,"Movistar KOI						
							(KOI)",Karmine Corp,-0.75,-0.4,-250.166,4.006,1
2024-04-27,Ascent,314326_g163226,Global Esports,DetonatioN FocusMe,-0.167,2.2,467.772,42.475,1
2024-04-27,Lotus,314326_g163225,DetonatioN FocusMe,Global Esports,-0.317,-3.8,-347.948,-71.642,0
2024-04-27,Split,314326_g163224,DetonatioN FocusMe,Global Esports,0.083,-5.6,-289.031,-61.937,1
2024-04-27,Bind,314325_g163222,BLEED,Paper Rex,-0.7,2.2,-1179.544,6.887,0
2024-04-27,Ascent,314325_g163221,BLEED,Paper Rex,0.4,1.0,-1079.663,-0.432,0
2024-04-27,Bind,314644_g163412,G2 Esports,MIBR,0.0,2.2,768.715,63.7,1
2024-04-27,Icebox,314644_g163411,MIBR,G2 Esports,-0.667,-1.2,-768.762,-26.452,0
2024-04-27,Lotus,314645_g163414,Sentinels,LOUD,0.414,5.0,-149.196,53.424,0
2024-04-27,Icebox,314645_g163415,LOUD,Sentinels,0.2,-3.0,260.101,-72.47,1
2024-04-28,Breeze,314328_g163232,Team Secret,TALON,-1.0,1.8,616.509,23.632,0
